Company,firm,year,mktcap,sharepr,bkvalue,opincome,sharesno,EPS,BVPS,tdebt,debteq,equity,avrgdebteq,dividends,div,retearnings,size,Q-ratio,EV,netprofit
ASPEN,4,2014,1.54E+11,337.62,-13464600000,7424800000,456341037,16.27028778,-29.50556472,53671300000,0.348356906,28876100000,0.342640463,716200000,1,25996300000,1,-11.4425873,1.84E+11,5005500000
ASPEN,4,2015,1.34E+11,294,-11400000000,8400000000,456348537,18.40698352,-24.98090621,54300000000,0.404721091,34100000000,0.342640463,857700000,1,31131900000,1,-11.76898859,1.64E+11,5200000000
ASPEN,4,2016,1.42E+11,311,-12600000000,9000000000,456351436,19.72164277,-27.61029988,61800000000,0.435440344,42500000000,0.342640463,1000000000,1,40600000000,1,-11.26391243,1.75E+11,4300000000
ASPEN,4,2017,1.39E+11,303.59,-22800000000,8300000000,456435185,18.18440005,-49.95232784,73200000000,0.528256079,43100000000,0.342640463,1200000000,1,41200000000,1,-6.077594641,1.76E+11,5100000000
BIDVEST,5,2010,51457271872,146.96,11032674000,5463343000,350144746,15.60309861,31.5088949,25951983000,0.504340437,17392937000,0.50255882,0,0,18619202000,1,4.664079794,57057171872,3444788000
BIDVEST,5,2011,46647171510,142.5,11430062000,5847911000,327348572,17.86447689,34.91709748,29372926000,0.629682895,18456992000,0.50255882,1524360000,1,19101358000,1,4.08109523,53741065510,3774149000
BIDVEST,5,2012,68743200120,210,14288499000,7140299000,327348572,21.81252527,43.6491869,33295693000,0.484348895,22599453000,0.50255882,2014585000,1,21948681000,1,4.811086183,75009612120,4737473000
BIDVEST,5,2013,83900141824,256,17670978000,7438920000,327734929,22.69797736,53.91850681,39127700000,0.466360356,27550719000,0.50255882,2182715000,1,24592164000,1,4.747905963,91648876824,5052416000
BIDVEST,5,2014,93138989473,284.19,19640933000,7881985000,327734929,24.04987782,59.92932477,47964355000,0.514976115,33011115000,0.50255882,1785665000,1,27420045000,1,4.7420858,1.04E+11,4836659000
BIDVEST,5,2015,1.06E+11,320.42,22049722000,3973377000,331237219,11.99556322,66.56776695,52150972000,0.49136437,37710234000,0.50255882,1861818000,1,31558166000,1,4.813440719,1.18E+11,6159376000
BIDVEST,5,2016,54155661939,161.58,16279084000,4147751000,335163151,12.37531927,48.57062583,25315164000,0.467451843,19746080000,0.50255882,3149552000,1,17108032000,1,3.326702039,68113544939,81695859000
BIDVEST,5,2017,61364091244,172.66,18208913000,6877150000,355404212,19.35022087,51.23437592,28346875000,0.46194565,23044323000,0.50255882,1529585000,1,20279261000,1,3.370002989,72707104244,4868589000
BOWLER METCALF,6,2010,599431142,7.46,332149000,97615000,80352700,1.214831611,4.133638322,77328000,0.129002307,348070000,0.141826972,23008000,1,352593000,0,1.804705545,533245142,69442000
BOWLER METCALF,6,2011,675999240,8.4,391624000,113376000,80476100,1.408815785,4.866339199,82028000,0.121343332,407545000,0.141826972,25933000,1,405709000,0,1.726143546,580810240,83039000
BOWLER METCALF,6,2012,600672800,7.4,418287000,78266000,81172000,0.964199478,5.153094663,79249000,0.131933725,434208000,0.141826972,29864000,1,434869000,0,1.436030285,588005800,59197000
BOWLER METCALF,6,2013,663882700,8.15,408423000,69924000,81458000,0.858405559,5.013909008,89536000,0.134867199,424344000,0.141826972,30599000,1,436836000,0,1.625478242,614063700,57465000
BOWLER METCALF,6,2014,657432000,8,443933000,75267000,82179000,0.915890921,5.402024848,93661000,0.142464924,459854000,0.141826972,28156000,1,469614000,0,1.480926176,546840000,60202000
BOWLER METCALF,6,2015,741504190,8.99,662890000,88011000,82481000,1.067045744,8.036881221,102841000,0.138692406,667752000,0.141826972,28859000,1,676352000,0,1.118593115,603058190,71988000
BOWLER METCALF,6,2016,728631200,8.8,721344000,79319000,82799000,0.957970507,8.711989275,124453000,0.170803831,699046000,0.141826972,34282000,1,707646000,0,1.010102254,570448200,73575000
BOWLER METCALF,6,2017,587844500,7.1,656385000,48389000,82795000,0.584443505,7.927833806,97293000,0.165508055,661247000,0.141826972,31233000,1,675341000,0,0.895578814,435871500,-1072000
COMAIR,7,2010,1100647060,2.25,725275000,143993000,489176471,0.294357984,1.4826449,1297298000,1.178668483,725275000,1.714121823,20040000,1,582650000,0,1.51755825,1157508060,89707000
COMAIR,7,2011,1076188236,2.2,800521000,117772000,489176471,0.240755652,1.636466689,1303100000,1.210847653,800521000,1.714121823,23598000,1,654615000,0,1.344359781,1246008236,76997000
COMAIR,7,2012,709305883,1.45,762946000,20787000,489176471,0.042493867,1.559653919,1391306000,1.96150354,814461000,1.714121823,0,0,664684000,0,0.929693429,893654883,7681000
COMAIR,7,2013,1418611766,2.9,976057000,373810000,489176471,0.764161856,1.995306516,2584656000,1.821961485,1021200000,1.714121823,24215000,1,867995000,0,1.45341078,1910554766,227526000
COMAIR,7,2014,1893131326,4.3,1033196000,416774000,440263099,0.946647586,2.346769471,2955378000,1.561105645,1067970000,1.714121823,70295000,1,1035452000,0,1.832306093,2345170326,264851000
COMAIR,7,2015,1459618990,3.11,1132085000,327057000,469330865,0.696858068,2.412125612,2869193000,1.965713669,1166190000,1.714121823,81464000,1,1201045000,0,1.289319256,2103248990,218776000
COMAIR,7,2016,1811617139,3.86,1300947000,415855000,469330865,0.886059347,2.771918697,4280903000,2.363028538,1329515000,1.714121823,69764000,1,1325964000,0,1.392537235,3412625139,192702000
COMAIR,7,2017,2651719387,5.65,1520210000,637790000,469330865,1.358934704,3.239100842,4375723000,1.65014557,1542717000,1.714121823,83776000,1,1538211000,0,1.744311238,4414742387,296970000
EOH Ltd,8,2010,1020720540,13.89,139791000,147899000,73486000,2.012614648,1.902280707,641199000,0.628182715,463933000,0.378308757,19200000,1,315083000,0,7.301761487,873041540,93958000
EOH Ltd,8,2011,1967133100,23.05,160702000,232879000,85342000,2.72877364,1.883035317,926989000,0.471238576,711057000,0.378308757,25123000,1,437121000,0,12.24087504,1961567100,150146000
EOH Ltd,8,2012,3228797760,36.98,328341000,356622000,87312000,4.084455745,3.760548378,1381220000,0.427781516,1129838000,0.378308757,41951000,1,618562000,0,9.833672188,3259929760,224294000
